Timestamp,Rainfall (mm),station_number,station_name,station_no,latitude,longitude,biomass,coal,imports,gas,nuclear,other,hydro,solar,wind
01-Jun-18,34.2,509196,Dunnottar Radio Station,509196,56.94652496,-2.21202446,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,150.8,15180,Dunnswood STW (Cumbernauld),15180,55.97221885,-3.954505606,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,60.8,365257,Dunstaffnage,365257,56.45050242,-5.439870612,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,26.8,234207,Durkadale,234207,59.10852817,-3.232172832,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,69.2,115560,East Kilbride,115560,55.75477386,-4.171759227,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,50.4,15201,Edinburgh RBG (Royal Botanic Garden),15201,55.96662337,-3.212310737,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,45.4,492363,Einig Wood,492363,57.94421601,-4.764511928,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,77.8,115562,Eliock,115562,55.34583036,-3.899113859,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,109.8,15100,Eskdalemuir Observatory,15100,55.31151326,-3.206798775,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,27.4,115221,Esslemont House,115221,57.36510966,-2.112363417,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,51.6,115563,Ettrick Bay,115563,55.85650223,-5.145834193,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,40.2,15151,Fife Airport,15151,56.1816502,-3.222449068,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,28.4,115339,Flichity,115339,57.33128618,-4.221750189,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,27.6,336372,Forehill,336372,57.50635026,-1.843281987,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,26.6,115340,Forsinain,115340,58.41100711,-3.873563607,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,45.2,14948,Forter,14948,56.76674681,-3.332205729,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,75.2,115565,Fourmerkland,115565,55.1650788,-3.412506453,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
